study,variable,role,source,reason,timing,method_basis,selection
recovery,wmh_ml,exposure_or_imaging,derived_or_imaging,背景白质损伤表型,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,tg,prespecified_background,BSL_TG,控制常规代谢性脂质背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,prior_statin,prespecified_background,MH_LL_STT,卒中前用药可改变基线脂质状态,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,sample_day,measurement,derived_or_imaging,控制急性期采血时点差异,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,lesion_ml,conditional_prognosis,derived_or_imaging,条件化本次卒中损伤量，不估计背景表型的总因果效应,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,icv_ml,measurement,derived_or_imaging,独立控制头颅大小,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
cec,hdl,prespecified_background,BSL_HDL,固定HDL胆固醇浓度以解释CEC的额外关联,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,wmh_ml,exposure_or_imaging,derived_or_imaging,背景白质损伤表型,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,albuminuria,exposure_or_imaging,derived_or_imaging,两次实际UACR的四种组合；主要检验持续升高相对两次均低的关联是否随WMH变化,month3,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,age,prespecified_background,AGE,年龄可同时影响脑结构、血管代谢状态与预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,sex,prespecified_background,GENDER,性别与头颅体积、代谢和卒中背景有关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,smoking,prespecified_background,H_SMK,既往吸烟可影响血管损伤、脂质功能和预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,drinking,prespecified_background,H_DRINK,饮酒史可共同影响代谢和血压背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,hypertension,prespecified_background,H_HYPT,既往血压损伤同时影响脑与肾表型及预后,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,diabetes,prespecified_background,H_DIAB,糖尿病是系统性微血管及代谢背景,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,prior_stroke,prespecified_background,H_STROKE,既往卒中反映基线脑损伤与后续事件易感性,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,bmi,prespecified_background,BMI,体型与脂质、血压和肾脏指标相关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,education,prespecified_background,EDUC,教育与脑储备及健康行为背景有关,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,cysc3,prespecified_background,M03_CYSC,恢复期滤过功能与UACR及功能预后有关,month3,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,sbp3,prespecified_background,derived_or_imaging,恢复期实测血压；研究02为暴露，06为条件调整,month3,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,raas,prespecified_background,derived_or_imaging,出院ACEI或ARB先于恢复期UACR并可能影响其测量,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,mrs3,conditional_prognosis,F3_MRS,给定恢复期功能状态，是条件预后问题而非总效应混杂因素,month3,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
kidney,icv_ml,measurement,derived_or_imaging,独立控制头颅大小,baseline_or_pre_stroke,VanderWeele 2019; clinical temporal assumptions; see SAP study-specific references,protocol_fixed; no p-value/stepwise/ML selection
